rt,responses,trial_type,time_elapsed,image_type,sequence,stimulus,cities,city_images,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,linedressed_detor,detour_trial
null,,learn_phase(without_color),816914,,,black_plus_sign,,,,,null,US_Cities_List/hanover.png,US_Cities_List/leesburg.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),817430,,,yellow,,,,,null,US_Cities_List/hanover.png,US_Cities_List/leesburg.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,817932,,,yellow,,,,,null,US_Cities_List/hanover.png,US_Cities_List/leesburg.png,,,,,,,,,,,,,,,,,,
1065.5,,rt_thecrossant_black,819421,,,black_plus_sign,,,,,50,,,1,0.8831168831168831,,,,,,,,,,,,,,,,
null,,color_black,819522,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),822539,,,black_plus_sign,,,,,null,US_Cities_List/hanover.png,US_Cities_List/newhope.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),823618,,,yellow,,,,,null,US_Cities_List/hanover.png,US_Cities_List/newhope.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,824128,,,yellow,,,,,null,US_Cities_List/hanover.png,US_Cities_List/newhope.png,,,,,,,,,,,,,,,,,,
790.3000000007451,,rt_thecrossant_black,825054,,,black_plus_sign,,,,,50,,,1,0.8846153846153846,,,,,,,,,,,,,,,,
null,,color_black,825156,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),828171,,,black_plus_sign,,,,,null,US_Cities_List/shreveport.png,US_Cities_List/huntsville.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),829006,,,blue,,,,,null,US_Cities_List/shreveport.png,US_Cities_List/huntsville.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,829507,,,blue,,,,,null,US_Cities_List/shreveport.png,US_Cities_List/huntsville.png,,,,,,,,,,,,,,,,,,
1645.5,,rt_thecrossant_black,830678,,,black_plus_sign,,,,,49,,,1,0.8860759493670886,,,,,,,,,,,,,,,,
null,,color_black,830780,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),833797,,,black_plus_sign,,,,,null,US_Cities_List/huntsville.png,US_Cities_List/shreveport.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),834441,,,blue,,,,,null,US_Cities_List/huntsville.png,US_Cities_List/shreveport.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,834942,,,blue,,,,,null,US_Cities_List/huntsville.png,US_Cities_List/shreveport.png,,,,,,,,,,,,,,,,,,
1267.5,,rt_thecrossant_black,836303,,,black_plus_sign,,,,,49,,,1,0.8875,,,,,,,,,,,,,,,,
null,,color_black,836405,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),839424,,,black_plus_sign,,,,,null,US_Cities_List/hotsprings.png,US_Cities_List/gatlinburg.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),839875,,,blue,,,,,null,US_Cities_List/hotsprings.png,US_Cities_List/gatlinburg.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,840377,,,blue,,,,,null,US_Cities_List/hotsprings.png,US_Cities_List/gatlinburg.png,,,,,,,,,,,,,,,,,,
1432.3999999994412,,rt_thecrossant_black,841932,,,black_plus_sign,,,,,49,,,1,0.8888888888888888,,,,,,,,,,,,,,,,
null,,color_black,842034,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),845052,,,black_plus_sign,,,,,null,US_Cities_List/peoria.png,US_Cities_List/racine.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),845516,,,blue,,,,,null,US_Cities_List/peoria.png,US_Cities_List/racine.png,,,,,,,,,,,,,,,,,,
