rt,responses,trial_type,time_elapsed,image_type,sequence,stimulus,cities,city_images,button_pressed,response,key_press,stimulus_left,stimulus_right,cumulative_accuracy,accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial,linedressed_detor
,,Goal Directed Planning,3037774,,,GDP-14,,,,,,,,,,,,,,,,,,,,Granton Ridge,Juniper Creek,,undefinedimgLdrag11:[x1:74.11111450195312 x2:197 y1:209.99996948242188 y2:217.42361450195312]imgRdrag11:[x1:1074.1111145019531 x2:317.0000305175781 y1:209.99996948242188 y2:187.99996948242188],true,undefinedimgLdrag10:[x1:74.11111450195312 x2:234 y1:209.99996948242188 y2:218.42361450195312]drag10imgR:[x1:360.0000305175781 x2:1074.1111145019531 y1:213.99996948242188 y2:209.99996948242188]
,,Goal Directed Planning,3049669,,,GDP-15,,,,,,,,,,,,,,,,,,,,North Arroya,Cedarwyn,,undefinedimgLdrag08:[x1:74.11111450195312 x2:238 y1:209.99996948242188 y2:213.99996948242188]imgRdrag08:[x1:1074.1111145019531 x2:238 y1:209.99996948242188 y2:213.99996948242188],false,
,,Goal Directed Planning,3078798,,,GDP-16,,,,,,,,,,,,,,,,,,,,Baymarsh,Juniper Creek,,undefinedimgLdrag06:[x1:74.11111450195312 x2:207 y1:209.99996948242188 y2:228.42361450195312]imgRdrag06:[x1:1074.1111145019531 x2:418.0000305175781 y1:209.99996948242188 y2:203.99996948242188],true,undefinedimgLdrag03:[x1:74.11111450195312 x2:222 y1:209.99996948242188 y2:234.42361450195312]imgRdrag03:[x1:1074.1111145019531 x2:444.0000305175781 y1:209.99996948242188 y2:207.99996948242188]
,,Goal Directed Planning,3093378,,,GDP-17,,,,,,,,,,,,,,,,,,,,Sunmere,Hollendale,,undefinedimgLdrag10:[x1:74.11111450195312 x2:190 y1:209.99996948242188 y2:227.42361450195312]drag11drag10:[x1:425.0000305175781 x2:247 y1:223.99996948242188 y2:214.99996948242188]imgRdrag11:[x1:1074.1111145019531 x2:563.0000305175781 y1:209.99996948242188 y2:185.99996948242188],false,
,,Goal Directed Planning,3103338,,,GDP-18,,,,,,,,,,,,,,,,,,,,Hawthorne Bluffs,Juniper Creek,,undefinedimgLdrag02:[x1:74.11111450195312 x2:212 y1:209.99996948242188 y2:227.42361450195312]imgRdrag02:[x1:1074.1111145019531 x2:330.0000305175781 y1:209.99996948242188 y2:203.99996948242188],false,
,,Goal Directed Planning,3127983,,,GDP-19,,,,,,,,,,,,,,,,,,,,Hollendale,Juniper Creek,,undefinedimgLdrag08:[x1:74.11111450195312 x2:234 y1:209.99996948242188 y2:219.42361450195312]drag08imgR:[x1:458.0000305175781 x2:1074.1111145019531 y1:207.99996948242188 y2:209.99996948242188],true,undefinedimgLdrag02:[x1:74.11111450195312 x2:200 y1:209.99996948242188 y2:213.42361450195312]imgRdrag02:[x1:1074.1111145019531 x2:419.0000305175781 y1:209.99996948242188 y2:206.99996948242188]
,,Goal Directed Planning,3141085,,,GDP-20,,,,,,,,,,,,,,,,,,,,New Verdan,North Arroya,,undefinedimgLdrag05:[x1:74.11111450195312 x2:268 y1:209.99996948242188 y2:203.42361450195312]drag05imgR:[x1:268 x2:1074.1111145019531 y1:203.42361450195312 y2:209.99996948242188],false,
,,Goal Directed Planning,3154585,,,GDP-21,,,,,,,,,,,,,,,,,,,,Claywater,North Arroya,,undefinedimgLdrag11:[x1:74.11111450195312 x2:206 y1:209.99996948242188 y2:193.42361450195312]drag01drag11:[x1:432.0000305175781 x2:206 y1:207.99996948242188 y2:193.42361450195312]imgRdrag01:[x1:1074.1111145019531 x2:652.0000305175781 y1:209.99996948242188 y2:177.99996948242188],false,
,,Goal Directed Planning,3165564,,,GDP-22,,,,,,,,,,,,,,,,,,,,New Verdan,Cedarwyn,,undefinedimgLdrag13:[x1:74.11111450195312 x2:258 y1:209.99996948242188 y2:226.42361450195312]imgRdrag13:[x1:1074.1111145019531 x2:455.0000305175781 y1:209.99996948242188 y2:224.99996948242188],false,
,,Goal Directed Planning,3187576,,,GDP-23,,,,,,,,,,,,,,,,,,,,Claywater,Cedarwyn,,undefinedimgLdrag03:[x1:74.11111450195312 x2:219 y1:209.99996948242188 y2:209.42361450195312]imgRdrag03:[x1:1074.1111145019531 x2:219 y1:209.99996948242188 y2:210.99996948242188],true,undefinedimgLdrag06:[x1:74.11111450195312 x2:246 y1:209.99996948242188 y2:236.42361450195312]imgRdrag06:[x1:1074.1111145019531 x2:516.0000305175781 y1:209.99996948242188 y2:211.99996948242188]
,,Goal Directed Planning,3198639,,,GDP-24,,,,,,,,,,,,,,,,,,,,Baymarsh,New Verdan,,undefinedimgLdrag09:[x1:74.11111450195312 x2:222 y1:209.99996948242188 y2:209.42361450195312]imgRdrag09:[x1:1074.1111145019531 x2:648.0000305175781 y1:209.99996948242188 y2:202.99996948242188],false,
,,Goal Directed Planning,3231226,,,GDP-25,,,,,,,,,,,,,,,,,,,,Granton Ridge,Sunmere,,undefinedimgLdrag07:[x1:74.11111450195312 x2:238 y1:209.99996948242188 y2:209.99996948242188]imgRdrag07:[x1:1074.1111145019531 x2:837.0000305175781 y1:209.99996948242188 y2:193.99996948242188],true,undefinedimgLdrag02:[x1:74.11111450195312 x2:206 y1:209.99996948242188 y2:243.42361450195312]imgRdrag02:[x1:1074.1111145019531 x2:653.0000305175781 y1:209.99996948242188 y2:217.99996948242188]
,,Goal Directed Planning,3242588,,,GDP-26,,,,,,,,,,,,,,,,,,,,Granton Ridge,Riverlyn,,undefinedimgLdrag01:[x1:74.11111450195312 x2:206 y1:209.99996948242188 y2:214.42361450195312]drag01imgR:[x1:716.0000305175781 x2:1074.1111145019531 y1:197.99996948242188 y2:209.99996948242188],false,
,,Goal Directed Planning,3261653,,,GDP-27,,,,,,,,,,,,,,,,,,,,Delaro Park,Juniper Creek,,undefinedimgLdrag10:[x1:74.11111450195312 x2:221 y1:209.99996948242188 y2:214.42361450195312]imgRdrag10:[x1:1074.1111145019531 x2:595.0000305175781 y1:209.99996948242188 y2:197.99996948242188],true,undefinedimgLdrag11:[x1:74.11111450195312 x2:202 y1:209.99996948242188 y2:239.42361450195312]imgRdrag11:[x1:1074.1111145019531 x2:657.0000305175781 y1:209.99996948242188 y2:212.99996948242188]
,,Goal Directed Planning,3275221,,,GDP-28,,,,,,,,,,,,,,,,,,,,Orchard Bend,Granton Ridge,,undefinedimgLdrag03:[x1:74.11111450195312 x2:216 y1:209.99996948242188 y2:226.42361450195312]imgRdrag03:[x1:1074.1111145019531 x2:780.0000305175781 y1:209.99996948242188 y2:197.99996948242188],false,
,,Goal Directed Planning,3291953,,,GDP-29,,,,,,,,,,,,,,,,,,,,Delaro Park,Sunmere,,undefinedimgLdrag07:[x1:74.11111450195312 x2:259 y1:209.99996948242188 y2:216.42361450195312]drag07imgR:[x1:259 x2:1074.1111145019531 y1:216.42361450195312 y2:209.99996948242188],false,
,,Goal Directed Planning,3303332,,,GDP-30,,,,,,,,,,,,,,,,,,,,Granton Ridge,New Verdan,,undefinedimgLdrag08:[x1:74.11111450195312 x2:218 y1:209.99996948242188 y2:226.42361450195312]drag08imgR:[x1:218 x2:1074.1111145019531 y1:226.42361450195312 y2:209.99996948242188],false,
,,Goal Directed Planning,3323820,,,GDP-31,,,,,,,,,,,,,,,,,,,,Orchard Bend,Hollendale,,undefinedimgLdrag04:[x1:74.11111450195312 x2:222 y1:209.99996948242188 y2:221.42361450195312]imgRdrag04:[x1:1074.1111145019531 x2:665.0000305175781 y1:209.99996948242188 y2:206.99996948242188],true,undefinedimgLdrag05:[x1:74.11111450195312 x2:227 y1:209.99996948242188 y2:212.99996948242188]imgRdrag05:[x1:1074.1111145019531 x2:818.0000305175781 y1:209.99996948242188 y2:201.99996948242188]
,,Goal Directed Planning,3337034,,,GDP-32,,,,,,,,,,,,,,,,,,,,Riverlyn,North Arroya,,undefinedimgLdrag08:[x1:74.11111450195312 x2:222 y1:209.99996948242188 y2:224.42361450195312]imgRdrag08:[x1:1074.1111145019531 x2:659.0000305175781 y1:209.99996948242188 y2:197.99996948242188],false,
10407.89999999851,,intro_1,3347444,,,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,
6853.699999999255,,intro_2,3354300,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
3965.099999997765,,intro_3,3358266,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
