rt,responses,trial_type,time_elapsed,image_type,sequence,stimulus,cities,city_images,button_pressed,response,key_press,stimulus_left,stimulus_right,cumulative_accuracy,accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,linedressed_detor,detour_trial
4276.899999976158,{worker_id:63af557b3d4f219c3226b7d6},id_enter,4279,fictional,interleaved,flights,North Arroya; Delaro Park; Hawthorne Bluffs; Claywater; Sunmere; Riverlyn; New Verdan; Granton Ridge; Orchard Bend; Baymarsh; Hollendale; Cedarwyn; Juniper Creek,US_Cities_List/newhope.png; US_Cities_List/cornwall.png; US_Cities_List/shreveport.png; US_Cities_List/boulder.png; US_Cities_List/hotsprings.png; US_Cities_List/westpalmbeach.png; US_Cities_List/racine.png; US_Cities_List/hanover.png; US_Cities_List/peoria.png; US_Cities_List/leesburg.png; US_Cities_List/carmel.png; US_Cities_List/huntsville.png; US_Cities_List/gatlinburg.png,,,,,,,,,,,,,,,,,,,,,,,
4203.5,,fullscreen,8489,,,make_fullscreen,,,0,,,,,,,,,,,,,,,,,,,,,,
5879.5999999940395,,intro_1,14375,,,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,
7871.0999999940395,,intro_2,22251,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
13543.600000023842,,intro_3,35800,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
7159.9000000059605,,intro_4,42964,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
15657.199999988079,,intro_5,58624,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
29445.19999998808,,intro_6,88076,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
16027.5,,intro_7,104106,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_1,107113,,,lean_prac_1,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,108121,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
12685.09999999404,,intro_1,120808,,,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,
6648.799999982119,,intro_2,127465,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_2,130479,,,lean_prac_2,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,131493,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
10969.90000000596,,intro_1,142465,,,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,
3577.0999999940395,,intro_2,146047,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
13320.90000000596,,intro_3,159372,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,159983,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
708.3000000119209,,prac_atten_color,160782,,,prac_stop_color,,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,162787,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,163399,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
556,,prac_atten_color,164187,,,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,166196,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,166829,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
513.8000000119209,,prac_atten_color,167731,,,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,169739,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,170259,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
452.2999999821186,,prac_atten_color,171123,,,prac_stop_color,,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,173137,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,173704,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
470.90000000596046,,prac_atten_color,174590,,,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,
