rt,responses,trial_type,time_elapsed,image_type,sequence,stimulus,cities,city_images,button_pressed,response,key_press,stimulus_left,stimulus_right,cumulative_accuracy,accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial,linedressed_detor
2493,,directmemory_phase,1175166,,,../static/images/US_Cities_List/carmel.png,,,,,51,,,0.5769230769230769,0,../static/images/US_Cities_List/cornwall.png,../static/images/US_Cities_List/boulder.png,../static/images/US_Cities_List/huntsville.png,../static/images/US_Cities_List/cornwall.png,../static/images/US_Cities_List/huntsville.png,../static/images/US_Cities_List/boulder.png,0.5,closer,,,,,,,,
null,,html-keyboard-response,1176177,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
2406,,directmemory_phase,1178621,,,../static/images/US_Cities_List/hotsprings.png,,,,,49,,,0.5925925925925926,1,../static/images/US_Cities_List/gatlinburg.png,../static/images/US_Cities_List/westpalmbeach.png,../static/images/US_Cities_List/cornwall.png,../static/images/US_Cities_List/gatlinburg.png,../static/images/US_Cities_List/cornwall.png,../static/images/US_Cities_List/westpalmbeach.png,1,,,,,,,,,
null,,html-keyboard-response,1179650,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
3845,,directmemory_phase,1183520,,,../static/images/US_Cities_List/shreveport.png,,,,,50,,,0.6071428571428571,1,../static/images/US_Cities_List/westpalmbeach.png,../static/images/US_Cities_List/peoria.png,../static/images/US_Cities_List/huntsville.png,../static/images/US_Cities_List/peoria.png,../static/images/US_Cities_List/westpalmbeach.png,../static/images/US_Cities_List/huntsville.png,1,,,,,,,,,
null,,html-keyboard-response,1184539,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
3527,,directmemory_phase,1188105,,,../static/images/US_Cities_List/hotsprings.png,,,,,51,,,0.6206896551724138,1,../static/images/US_Cities_List/carmel.png,../static/images/US_Cities_List/newhope.png,../static/images/US_Cities_List/boulder.png,../static/images/US_Cities_List/boulder.png,../static/images/US_Cities_List/newhope.png,../static/images/US_Cities_List/carmel.png,1,,,,,,,,,
null,,html-keyboard-response,1189120,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
2161,,directmemory_phase,1191314,,,../static/images/US_Cities_List/peoria.png,,,,,51,,,0.6333333333333333,1,../static/images/US_Cities_List/gatlinburg.png,../static/images/US_Cities_List/boulder.png,../static/images/US_Cities_List/racine.png,../static/images/US_Cities_List/racine.png,../static/images/US_Cities_List/boulder.png,../static/images/US_Cities_List/gatlinburg.png,1,,,,,,,,,
null,,html-keyboard-response,1192320,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
2326,,directmemory_phase,1194688,,,../static/images/US_Cities_List/newhope.png,,,,,49,,,0.6451612903225806,1,../static/images/US_Cities_List/shreveport.png,../static/images/US_Cities_List/hanover.png,../static/images/US_Cities_List/racine.png,../static/images/US_Cities_List/shreveport.png,../static/images/US_Cities_List/racine.png,../static/images/US_Cities_List/hanover.png,1,,,,,,,,,
null,,html-keyboard-response,1195707,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
2006,,directmemory_phase,1197753,,,../static/images/US_Cities_List/westpalmbeach.png,,,,,49,,,0.65625,1,../static/images/US_Cities_List/racine.png,../static/images/US_Cities_List/hotsprings.png,../static/images/US_Cities_List/shreveport.png,../static/images/US_Cities_List/racine.png,../static/images/US_Cities_List/shreveport.png,../static/images/US_Cities_List/hotsprings.png,1,,,,,,,,,
null,,html-keyboard-response,1198757,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
10724,,intro_1,1209482,,,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,
11342,,intro_2,1220828,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
7941,,intro_3,1228773,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
6172,,intro_4,1234951,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
5264,,intro_5,1240220,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
5302,,intro_6,1245525,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
4526,,intro_7,1250056,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
26200,,intro_8,1276259,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
2532,,intro_9,1278797,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
7507,,intro_10,1286309,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
11640,,intro_11,1297953,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
4611,,shortestpath_phase,1302583,,,../static/images/US_Cities_List/gatlinburg.png,,,,,50,../static/images/US_Cities_List/westpalmbeach.png,../static/images/US_Cities_List/huntsville.png,1,1,,,,../static/images/US_Cities_List/huntsville.png,,,,,Two Edge Diff,Two Edge Four Edge,,,,,,
null,,html-keyboard-response,1303589,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
