rt,responses,trial_type,time_elapsed,stimulus,cities,city_images,button_pressed,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,image_position,problems,smooth,distraction,strategies,easier,similar,comments
null,,black_cross(without_color),761418,blue,,,,null,US_Cities_List/nat_leesburg.png,US_Cities_List/mm_newhope.png,,,,,,,,,,,,,,,,,,,,,,,,
451.89999997615814,,rt_plussign_withcolor,761926,blue,,,,49,US_Cities_List/nat_leesburg.png,US_Cities_List/mm_newhope.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,763526,black_plus_sign,,,,null,,,1,0.990990990990991,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,763630,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),766166,black_plus_sign,,,,null,US_Cities_List/nat_leesburg.png,US_Cities_List/mm_peoria.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),766955,green,,,,null,US_Cities_List/nat_leesburg.png,US_Cities_List/mm_peoria.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,767464,green,,,,null,US_Cities_List/nat_leesburg.png,US_Cities_List/mm_peoria.png,,,,,,,,,,,,,,,,,,,,,,,,
641.8999999761581,,rt_thecrossant_black,768687,black_plus_sign,,,,50,,,1,0.9910714285714286,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,768804,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),771343,black_plus_sign,,,,null,US_Cities_List/nat_racine.png,US_Cities_List/nat_leesburg.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),771817,blue,,,,null,US_Cities_List/nat_racine.png,US_Cities_List/nat_leesburg.png,,,,,,,,,,,,,,,,,,,,,,,,
451.10000002384186,,rt_plussign_withcolor,772321,blue,,,,49,US_Cities_List/nat_racine.png,US_Cities_List/nat_leesburg.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,773875,black_plus_sign,,,,null,,,1,0.9911504424778761,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,773979,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),776535,black_plus_sign,,,,null,US_Cities_List/nat_boulder.png,US_Cities_List/mm_shreveport.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),777189,blue,,,,null,US_Cities_List/nat_boulder.png,US_Cities_List/mm_shreveport.png,,,,,,,,,,,,,,,,,,,,,,,,
416.60000002384186,,rt_plussign_withcolor,777698,blue,,,,49,US_Cities_List/nat_boulder.png,US_Cities_List/mm_shreveport.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,779065,black_plus_sign,,,,null,,,1,0.9912280701754386,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,779170,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
