,rt,trial_type,time_elapsed,sequence,stimulus,key_press,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,partid
2648,2502.7999999821186,directmemory_phase,1040245,blocked,GW/leesburg.png,50.0,1.0,1.0,GW/huntsville.png,GW/cornwall.png,GW/hotsprings.png,GW/cornwall.png,GW/huntsville.png,GW/hotsprings.png,1.0,,560ce65601c38a0012769e20
2650,4865.5,directmemory_phase,1046113,blocked,GW/boulder.png,51.0,1.0,1.0,GW/cornwall.png,GW/huntsville.png,GW/newhope.png,GW/newhope.png,GW/huntsville.png,GW/cornwall.png,1.0,,560ce65601c38a0012769e20
2652,3889.900000005961,directmemory_phase,1051005,blocked,GW/gatlinburg.png,50.0,0.0,0.6666666666666666,GW/racine.png,GW/huntsville.png,GW/cornwall.png,GW/cornwall.png,GW/huntsville.png,GW/racine.png,0.5,closer,560ce65601c38a0012769e20
2654,2037.7000000178816,directmemory_phase,1054045,blocked,GW/shreveport.png,49.0,1.0,0.75,GW/leesburg.png,GW/newhope.png,GW/gatlinburg.png,GW/leesburg.png,GW/gatlinburg.png,GW/newhope.png,1.0,,560ce65601c38a0012769e20
2656,2993.5999999940395,directmemory_phase,1058041,blocked,GW/cornwall.png,51.0,1.0,0.8,GW/racine.png,GW/carmel.png,GW/huntsville.png,GW/huntsville.png,GW/carmel.png,GW/racine.png,1.0,,560ce65601c38a0012769e20
2658,4411.300000011921,directmemory_phase,1063455,blocked,GW/peoria.png,51.0,1.0,0.8333333333333334,GW/cornwall.png,GW/gatlinburg.png,GW/racine.png,GW/racine.png,GW/gatlinburg.png,GW/cornwall.png,1.0,,560ce65601c38a0012769e20
2660,4953.300000011921,directmemory_phase,1069411,blocked,GW/shreveport.png,50.0,1.0,0.8571428571428571,GW/westpalmbeach.png,GW/huntsville.png,GW/boulder.png,GW/huntsville.png,GW/westpalmbeach.png,GW/boulder.png,1.0,,560ce65601c38a0012769e20
2662,1584.300000011921,directmemory_phase,1071998,blocked,GW/gatlinburg.png,50.0,1.0,0.875,GW/leesburg.png,GW/westpalmbeach.png,GW/carmel.png,GW/westpalmbeach.png,GW/leesburg.png,GW/carmel.png,1.0,,560ce65601c38a0012769e20
2664,4102.800000011921,directmemory_phase,1077103,blocked,GW/shreveport.png,50.0,0.0,0.7777777777777778,GW/cornwall.png,GW/peoria.png,GW/westpalmbeach.png,GW/cornwall.png,GW/westpalmbeach.png,GW/peoria.png,0.5,closer,560ce65601c38a0012769e20
2666,5538.700000017881,directmemory_phase,1083644,blocked,GW/westpalmbeach.png,49.0,1.0,0.8,GW/huntsville.png,GW/carmel.png,GW/peoria.png,GW/huntsville.png,GW/peoria.png,GW/carmel.png,1.0,,560ce65601c38a0012769e20
2668,,directmemory_phase,1091147,blocked,GW/cornwall.png,,0.0,0.7272727272727273,GW/carmel.png,GW/gatlinburg.png,GW/racine.png,GW/gatlinburg.png,GW/carmel.png,GW/racine.png,0.0,,560ce65601c38a0012769e20
2671,2541.0999999940395,directmemory_phase,1097693,blocked,GW/huntsville.png,51.0,1.0,0.75,GW/racine.png,GW/hanover.png,GW/shreveport.png,GW/shreveport.png,GW/hanover.png,GW/racine.png,1.0,,560ce65601c38a0012769e20
2673,3515.0,directmemory_phase,1102212,blocked,GW/westpalmbeach.png,49.0,0.0,0.6923076923076923,GW/leesburg.png,GW/hotsprings.png,GW/gatlinburg.png,GW/gatlinburg.png,GW/hotsprings.png,GW/leesburg.png,0.5,closer,560ce65601c38a0012769e20
2675,2392.9000000059605,directmemory_phase,1105607,blocked,GW/cornwall.png,49.0,1.0,0.7142857142857143,GW/leesburg.png,GW/peoria.png,GW/hanover.png,GW/leesburg.png,GW/hanover.png,GW/peoria.png,1.0,,560ce65601c38a0012769e20
2677,1294.9000000059605,directmemory_phase,1107904,blocked,GW/hotsprings.png,50.0,1.0,0.7333333333333333,GW/westpalmbeach.png,GW/gatlinburg.png,GW/huntsville.png,GW/gatlinburg.png,GW/westpalmbeach.png,GW/huntsville.png,1.0,,560ce65601c38a0012769e20
2679,3490.800000011921,directmemory_phase,1112398,blocked,GW/huntsville.png,50.0,1.0,0.75,GW/gatlinburg.png,GW/cornwall.png,GW/hotsprings.png,GW/cornwall.png,GW/gatlinburg.png,GW/hotsprings.png,1.0,,560ce65601c38a0012769e20
2681,2989.300000011921,directmemory_phase,1116404,blocked,GW/newhope.png,49.0,1.0,0.7647058823529411,GW/boulder.png,GW/racine.png,GW/westpalmbeach.png,GW/boulder.png,GW/westpalmbeach.png,GW/racine.png,1.0,,560ce65601c38a0012769e20
2683,2171.800000011921,directmemory_phase,1119578,blocked,GW/hanover.png,49.0,1.0,0.7777777777777778,GW/shreveport.png,GW/gatlinburg.png,GW/huntsville.png,GW/shreveport.png,GW/huntsville.png,GW/gatlinburg.png,1.0,,560ce65601c38a0012769e20
2685,4175.0999999940395,directmemory_phase,1124756,blocked,GW/westpalmbeach.png,51.0,0.0,0.7368421052631579,GW/boulder.png,GW/racine.png,GW/cornwall.png,GW/boulder.png,GW/cornwall.png,GW/racine.png,0.5,closer,560ce65601c38a0012769e20
2687,2315.5999999940395,directmemory_phase,1128074,blocked,GW/leesburg.png,50.0,1.0,0.75,GW/hanover.png,GW/shreveport.png,GW/boulder.png,GW/shreveport.png,GW/hanover.png,GW/boulder.png,1.0,,560ce65601c38a0012769e20
2689,4596.300000011921,directmemory_phase,1133673,blocked,GW/hotsprings.png,49.0,1.0,0.7619047619047619,GW/peoria.png,GW/leesburg.png,GW/boulder.png,GW/peoria.png,GW/boulder.png,GW/leesburg.png,1.0,,560ce65601c38a0012769e20
