rt,trial_type,stimulus,key_press,stimulus_left,stimulus_right,accuracy,stimulus_correct,condition,specific_pairs,city_type,partid,age
408.6,shortestpath_phase,nat_cornwall.png,50.0,nat_gatlinburg.png,mm_boulder.png,1.0,mm_boulder.png,One Edge Diff,Five Edge Six Edge,US,67cf70ec9741a100ffc7f570,old
293.7,shortestpath_phase,nat_racine.png,49.0,mm_leesburg.png,mm_westpalmbeach.png,1.0,mm_leesburg.png,Two Edge Diff,Four Edge Six Edge,US,67cf70ec9741a100ffc7f570,old
5.5,shortestpath_phase,mm_westpalmbeach.png,50.0,nat_racine.png,nat_hanover.png,1.0,nat_hanover.png,Four Edge Diff,Two Edge Six Edge,US,67cf70ec9741a100ffc7f570,old
620.0,shortestpath_phase,mm_boulder.png,49.0,nat_newhope.png,nat_cornwall.png,1.0,nat_newhope.png,Three Edge Diff,Two Edge Five Edge,US,67cf70ec9741a100ffc7f570,old
531.0,shortestpath_phase,nat_gatlinburg.png,50.0,nat_huntsville.png,mm_hotsprings.png,1.0,mm_hotsprings.png,One Edge Diff,Three Edge Four Edge,US,67cf70ec9741a100ffc7f570,old
478.0,shortestpath_phase,nat_cornwall.png,49.0,mm_carmel.png,nat_huntsville.png,0.0,nat_huntsville.png,Three Edge Diff,Two Edge Five Edge,US,67cf70ec9741a100ffc7f570,old
435.6,shortestpath_phase,nat_gatlinburg.png,50.0,nat_peoria.png,mm_shreveport.png,1.0,mm_shreveport.png,One Edge Diff,Two Edge Three Edge,US,67cf70ec9741a100ffc7f570,old
369.1,shortestpath_phase,nat_racine.png,49.0,nat_huntsville.png,mm_hotsprings.png,0.0,mm_hotsprings.png,Three Edge Diff,Two Edge Five Edge,US,67cf70ec9741a100ffc7f570,old
798.6,shortestpath_phase,mm_boulder.png,50.0,nat_peoria.png,mm_westpalmbeach.png,0.0,nat_peoria.png,Two Edge Diff,Two Edge Four Edge,US,67cf70ec9741a100ffc7f570,old
472.8,shortestpath_phase,nat_racine.png,49.0,nat_gatlinburg.png,nat_huntsville.png,1.0,nat_gatlinburg.png,Two Edge Diff,Three Edge Five Edge,US,67cf70ec9741a100ffc7f570,old
303.0,shortestpath_phase,mm_leesburg.png,50.0,mm_hotsprings.png,mm_boulder.png,0.0,mm_hotsprings.png,One Edge Diff,Two Edge Three Edge,US,67cf70ec9741a100ffc7f570,old
478.8,shortestpath_phase,nat_gatlinburg.png,49.0,mm_hotsprings.png,mm_carmel.png,0.0,mm_carmel.png,One Edge Diff,Two Edge Three Edge,US,67cf70ec9741a100ffc7f570,old
366.0,shortestpath_phase,mm_hotsprings.png,50.0,mm_boulder.png,mm_westpalmbeach.png,0.0,mm_boulder.png,Two Edge Diff,Two Edge Four Edge,US,67cf70ec9741a100ffc7f570,old
544.8,shortestpath_phase,mm_carmel.png,50.0,nat_huntsville.png,mm_westpalmbeach.png,0.0,nat_huntsville.png,One Edge Diff,Four Edge Five Edge,US,67cf70ec9741a100ffc7f570,old
727.4,shortestpath_phase,mm_westpalmbeach.png,49.0,mm_carmel.png,mm_hotsprings.png,0.0,mm_hotsprings.png,One Edge Diff,Four Edge Five Edge,US,67cf70ec9741a100ffc7f570,old
676.7,shortestpath_phase,nat_gatlinburg.png,49.0,nat_huntsville.png,nat_cornwall.png,1.0,nat_huntsville.png,Two Edge Diff,Four Edge Six Edge,US,67cf70ec9741a100ffc7f570,old
581.4,shortestpath_phase,mm_westpalmbeach.png,49.0,nat_racine.png,mm_carmel.png,0.0,mm_carmel.png,One Edge Diff,Five Edge Six Edge,US,67cf70ec9741a100ffc7f570,old
565.2,shortestpath_phase,nat_hanover.png,50.0,mm_shreveport.png,mm_boulder.png,0.0,mm_shreveport.png,One Edge Diff,Three Edge Four Edge,US,67cf70ec9741a100ffc7f570,old
989.8,shortestpath_phase,nat_racine.png,49.0,nat_huntsville.png,mm_hotsprings.png,0.0,mm_hotsprings.png,Three Edge Diff,Three Edge Six Edge,US,67cf70ec9741a100ffc7f570,old
3017.5,shortestpath_phase,mm_carmel.png,50.0,mm_westpalmbeach.png,mm_shreveport.png,1.0,mm_shreveport.png,Three Edge Diff,Two Edge Five Edge,US,67cf70ec9741a100ffc7f570,old
2722.8,shortestpath_phase,mm_leesburg.png,50.0,nat_racine.png,mm_boulder.png,1.0,mm_boulder.png,One Edge Diff,Three Edge Four Edge,US,67cf70ec9741a100ffc7f570,old
1260.6,shortestpath_phase,nat_gatlinburg.png,49.0,nat_cornwall.png,mm_shreveport.png,0.0,mm_shreveport.png,Four Edge Diff,Two Edge Six Edge,US,67cf70ec9741a100ffc7f570,old
511.4,shortestpath_phase,nat_racine.png,50.0,nat_newhope.png,nat_peoria.png,0.0,nat_newhope.png,One Edge Diff,Three Edge Four Edge,US,67cf70ec9741a100ffc7f570,old
