rt,responses,trial_type,time_elapsed,image_type,sequence,stimulus,cities,city_images,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,linedressed_detor,detour_trial
1533.9000000059605,,shortestpath_phase,1413220,,,../static/images/US_Cities_List/shreveport.png,,,,,49,../static/images/US_Cities_List/hanover.png,../static/images/US_Cities_List/gatlinburg.png,1,0.5,,,,../static/images/US_Cities_List/hanover.png,,,,,Four Edge Diff,Two Edge Six Edge,,,,,,
null,,html-keyboard-response,1414226,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
1894.699999988079,,shortestpath_phase,1416144,,,../static/images/US_Cities_List/newhope.png,,,,,50,../static/images/US_Cities_List/peoria.png,../static/images/US_Cities_List/boulder.png,0,0.3333333333333333,,,,../static/images/US_Cities_List/peoria.png,,,,,Three Edge Diff,Three Edge Six Edge,,,,,,
null,,html-keyboard-response,1417150,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
1543.199999988079,,shortestpath_phase,1418718,,,../static/images/US_Cities_List/gatlinburg.png,,,,,49,../static/images/US_Cities_List/shreveport.png,../static/images/US_Cities_List/leesburg.png,0,0.25,,,,../static/images/US_Cities_List/leesburg.png,,,,,Four Edge Diff,Two Edge Six Edge,,,,,,
null,,html-keyboard-response,1419723,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
2951,,shortestpath_phase,1422709,,,../static/images/US_Cities_List/shreveport.png,,,,,50,../static/images/US_Cities_List/hotsprings.png,../static/images/US_Cities_List/peoria.png,1,0.4,,,,../static/images/US_Cities_List/peoria.png,,,,,One Edge Diff,Four Edge Five Edge,,,,,,
null,,html-keyboard-response,1423713,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
2434.9000000059605,,shortestpath_phase,1426176,,,../static/images/US_Cities_List/boulder.png,,,,,49,../static/images/US_Cities_List/newhope.png,../static/images/US_Cities_List/hotsprings.png,0,0.3333333333333333,,,,../static/images/US_Cities_List/hotsprings.png,,,,,Three Edge Diff,Three Edge Six Edge,,,,,,
null,,html-keyboard-response,1427182,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
2385.9000000059605,,shortestpath_phase,1429587,,,../static/images/US_Cities_List/carmel.png,,,,,50,../static/images/US_Cities_List/huntsville.png,../static/images/US_Cities_List/gatlinburg.png,0,0.2857142857142857,,,,../static/images/US_Cities_List/huntsville.png,,,,,Three Edge Diff,Two Edge Five Edge,,,,,,
