rt,responses,trial_type,time_elapsed,image_type,sequence,stimulus,cities,city_images,button_pressed,response,key_press,stimulus_left,stimulus_right,cumulative_accuracy,accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,linedressed_detor,detour_trial
3564.599999997765,,shortestpath_phase,3444479,,,../static/images/US_Cities_List/hanover.png,,,,,49,../static/images/US_Cities_List/peoria.png,../static/images/US_Cities_List/newhope.png,0.42857142857142855,0,,,,../static/images/US_Cities_List/newhope.png,,,,,Two Edge Diff,Four Edge Six Edge,,,,,,
null,,html-keyboard-response,3445485,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
2990.599999997765,,shortestpath_phase,3448504,,,../static/images/US_Cities_List/westpalmbeach.png,,,,,50,../static/images/US_Cities_List/cornwall.png,../static/images/US_Cities_List/gatlinburg.png,0.5,1,,,,../static/images/US_Cities_List/gatlinburg.png,,,,,One Edge Diff,Three Edge Four Edge,,,,,,
null,,html-keyboard-response,3449510,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
3882.199999999255,,shortestpath_phase,3453421,,,../static/images/US_Cities_List/leesburg.png,,,,,49,../static/images/US_Cities_List/newhope.png,../static/images/US_Cities_List/boulder.png,0.5555555555555556,1,,,,../static/images/US_Cities_List/newhope.png,,,,,Three Edge Diff,Two Edge Five Edge,,,,,,
null,,html-keyboard-response,3454425,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
3328.60000000149,,shortestpath_phase,3457784,,,../static/images/US_Cities_List/boulder.png,,,,,50,../static/images/US_Cities_List/peoria.png,../static/images/US_Cities_List/racine.png,0.6,1,,,,../static/images/US_Cities_List/racine.png,,,,,Two Edge Diff,Four Edge Six Edge,,,,,,
null,,html-keyboard-response,3458790,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
3374.10000000149,,shortestpath_phase,3462184,,,../static/images/US_Cities_List/leesburg.png,,,,,49,../static/images/US_Cities_List/shreveport.png,../static/images/US_Cities_List/hanover.png,0.6363636363636364,1,,,,../static/images/US_Cities_List/shreveport.png,,,,,One Edge Diff,Three Edge Four Edge,,,,,,
null,,html-keyboard-response,3463190,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
3269.699999999255,,shortestpath_phase,3466479,,,../static/images/US_Cities_List/peoria.png,,,,,50,../static/images/US_Cities_List/boulder.png,../static/images/US_Cities_List/newhope.png,0.6666666666666666,1,,,,../static/images/US_Cities_List/newhope.png,,,,,Four Edge Diff,Two Edge Six Edge,,,,,,
null,,html-keyboard-response,3467485,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
4180.699999999255,,shortestpath_phase,3471688,,,../static/images/US_Cities_List/carmel.png,,,,,50,../static/images/US_Cities_List/boulder.png,../static/images/US_Cities_List/shreveport.png,0.6923076923076923,1,,,,../static/images/US_Cities_List/shreveport.png,,,,,Two Edge Diff,Four Edge Six Edge,,,,,,
null,,html-keyboard-response,3472694,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
