rt,responses,trial_type,time_elapsed,image_type,sequence,stimulus,cities,city_images,button_pressed,response,key_press,stimulus_left,stimulus_right,cumulative_accuracy,accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial,linedressed_detor
null,,learn_phase(without_color),1087696,,,black_plus_sign,,,,,null,US_Cities_List/racine.png,US_Cities_List/leesburg.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),1088678,,,blue,,,,,null,US_Cities_List/racine.png,US_Cities_List/leesburg.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,1089179,,,blue,,,,,null,US_Cities_List/racine.png,US_Cities_List/leesburg.png,,,,,,,,,,,,,,,,,,
1315.4000000059605,,rt_thecrossant_black,1090201,,,black_plus_sign,,,,,49,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,1090303,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),1093315,,,black_plus_sign,,,,,null,US_Cities_List/peoria.png,US_Cities_List/hotsprings.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),1094355,,,yellow,,,,,null,US_Cities_List/peoria.png,US_Cities_List/hotsprings.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,1094858,,,yellow,,,,,null,US_Cities_List/peoria.png,US_Cities_List/hotsprings.png,,,,,,,,,,,,,,,,,,
1701.7999999821186,,rt_thecrossant_black,1095836,,,black_plus_sign,,,,,49,,,0.9876543209876543,0,,,,,,,,,,,,,,,,
null,,color_black,1095938,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),1098949,,,black_plus_sign,,,,,null,US_Cities_List/newhope.png,US_Cities_List/huntsville.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),1099882,,,blue,,,,,null,US_Cities_List/newhope.png,US_Cities_List/huntsville.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,1100383,,,blue,,,,,null,US_Cities_List/newhope.png,US_Cities_List/huntsville.png,,,,,,,,,,,,,,,,,,
2017,,rt_thecrossant_black,1101456,,,black_plus_sign,,,,,49,,,0.9878048780487805,1,,,,,,,,,,,,,,,,
null,,color_black,1101558,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),1104573,,,black_plus_sign,,,,,null,US_Cities_List/leesburg.png,US_Cities_List/carmel.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),1105067,,,blue,,,,,null,US_Cities_List/leesburg.png,US_Cities_List/carmel.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,1105569,,,blue,,,,,null,US_Cities_List/leesburg.png,US_Cities_List/carmel.png,,,,,,,,,,,,,,,,,,
1651.4000000059605,,rt_thecrossant_black,1107078,,,black_plus_sign,,,,,49,,,0.9879518072289156,1,,,,,,,,,,,,,,,,
null,,color_black,1107179,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),1110197,,,black_plus_sign,,,,,null,US_Cities_List/carmel.png,US_Cities_List/racine.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),1110847,,,blue,,,,,null,US_Cities_List/carmel.png,US_Cities_List/racine.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,1111348,,,blue,,,,,null,US_Cities_List/carmel.png,US_Cities_List/racine.png,,,,,,,,,,,,,,,,,,
1137.7000000178814,,rt_thecrossant_black,1112702,,,black_plus_sign,,,,,49,,,0.9880952380952381,1,,,,,,,,,,,,,,,,
null,,color_black,1112803,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),1115819,,,black_plus_sign,,,,,null,US_Cities_List/carmel.png,US_Cities_List/leesburg.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),1116509,,,yellow,,,,,null,US_Cities_List/carmel.png,US_Cities_List/leesburg.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,1117010,,,yellow,,,,,null,US_Cities_List/carmel.png,US_Cities_List/leesburg.png,,,,,,,,,,,,,,,,,,
1334.300000011921,,rt_thecrossant_black,1118339,,,black_plus_sign,,,,,50,,,0.9882352941176471,1,,,,,,,,,,,,,,,,
null,,color_black,1118441,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),1121456,,,black_plus_sign,,,,,null,US_Cities_List/huntsville.png,US_Cities_List/newhope.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),1122435,,,blue,,,,,null,US_Cities_List/huntsville.png,US_Cities_List/newhope.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,1122937,,,blue,,,,,null,US_Cities_List/huntsville.png,US_Cities_List/newhope.png,,,,,,,,,,,,,,,,,,
1377.5999999940395,,rt_thecrossant_black,1123963,,,black_plus_sign,,,,,49,,,0.9883720930232558,1,,,,,,,,,,,,,,,,
null,,color_black,1124065,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),1127080,,,black_plus_sign,,,,,null,US_Cities_List/leesburg.png,US_Cities_List/boulder.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),1127525,,,yellow,,,,,null,US_Cities_List/leesburg.png,US_Cities_List/boulder.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,1128027,,,yellow,,,,,null,US_Cities_List/leesburg.png,US_Cities_List/boulder.png,,,,,,,,,,,,,,,,,,
1740.199999988079,,rt_thecrossant_black,1129586,,,black_plus_sign,,,,,50,,,0.9885057471264368,1,,,,,,,,,,,,,,,,
null,,color_black,1129688,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),1132699,,,black_plus_sign,,,,,null,US_Cities_List/huntsville.png,US_Cities_List/hanover.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),1133216,,,blue,,,,,null,US_Cities_List/huntsville.png,US_Cities_List/hanover.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,1133718,,,blue,,,,,null,US_Cities_List/huntsville.png,US_Cities_List/hanover.png,,,,,,,,,,,,,,,,,,
1087.699999988079,,rt_thecrossant_black,1135204,,,black_plus_sign,,,,,49,,,0.9886363636363636,1,,,,,,,,,,,,,,,,
null,,color_black,1135305,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),1138325,,,black_plus_sign,,,,,null,US_Cities_List/hanover.png,US_Cities_List/cornwall.png,,,,,,,,,,,,,,,,,,
