rt,responses,trial_type,time_elapsed,sequence,stimulus,cities,city_images,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial,linedressed_detor
null,,black_cross(without_color),593300,,green,,,,,null,US_Cities_List/basket.png,US_Cities_List/hat.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,593803,,green,,,,,null,US_Cities_List/basket.png,US_Cities_List/hat.png,,,,,,,,,,,,,,,,,,
1164,,rt_thecrossant_black,595287,,black_plus_sign,,,,,50,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,595390,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),598407,,black_plus_sign,,,,,null,US_Cities_List/wheelchair.png,US_Cities_List/teeth.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),598886,,green,,,,,null,US_Cities_List/wheelchair.png,US_Cities_List/teeth.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,599389,,green,,,,,null,US_Cities_List/wheelchair.png,US_Cities_List/teeth.png,,,,,,,,,,,,,,,,,,
823,,rt_thecrossant_black,600917,,black_plus_sign,,,,,50,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,601021,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),604035,,black_plus_sign,,,,,null,US_Cities_List/gong.png,US_Cities_List/snail.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),604591,,green,,,,,null,US_Cities_List/gong.png,US_Cities_List/snail.png,,,,,,,,,,,,,,,,,,
481.8999999994412,,rt_plussign_withcolor,605094,,green,,,,,50,US_Cities_List/gong.png,US_Cities_List/snail.png,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,606545,,black_plus_sign,,,,,null,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,606648,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),609658,,black_plus_sign,,,,,null,US_Cities_List/camera.png,US_Cities_List/dustpan.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),610258,,blue,,,,,null,US_Cities_List/camera.png,US_Cities_List/dustpan.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,610761,,blue,,,,,null,US_Cities_List/camera.png,US_Cities_List/dustpan.png,,,,,,,,,,,,,,,,,,
938.8000000007451,,rt_thecrossant_black,612169,,black_plus_sign,,,,,49,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,612272,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),615289,,black_plus_sign,,,,,null,US_Cities_List/wheelchair.png,US_Cities_List/teeth.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),615944,,blue,,,,,null,US_Cities_List/wheelchair.png,US_Cities_List/teeth.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,616447,,blue,,,,,null,US_Cities_List/wheelchair.png,US_Cities_List/teeth.png,,,,,,,,,,,,,,,,,,
860.0999999996275,,rt_thecrossant_black,617800,,black_plus_sign,,,,,49,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,617903,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),620915,,black_plus_sign,,,,,null,US_Cities_List/paint.png,US_Cities_List/soldier.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),621623,,green,,,,,null,US_Cities_List/paint.png,US_Cities_List/soldier.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,622127,,green,,,,,null,US_Cities_List/paint.png,US_Cities_List/soldier.png,,,,,,,,,,,,,,,,,,
753.2000000001863,,rt_thecrossant_black,623427,,black_plus_sign,,,,,50,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,623531,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),626550,,black_plus_sign,,,,,null,US_Cities_List/teeth.png,US_Cities_List/wheelchair.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),627166,,green,,,,,null,US_Cities_List/teeth.png,US_Cities_List/wheelchair.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,627669,,green,,,,,null,US_Cities_List/teeth.png,US_Cities_List/wheelchair.png,,,,,,,,,,,,,,,,,,
1066.7000000001863,,rt_thecrossant_black,629060,,black_plus_sign,,,,,49,,,0,0.9736842105263158,,,,,,,,,,,,,,,,
null,,color_black,629163,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),632177,,black_plus_sign,,,,,null,US_Cities_List/dustpan.png,US_Cities_List/camera.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),633239,,blue,,,,,null,US_Cities_List/dustpan.png,US_Cities_List/camera.png,,,,,,,,,,,,,,,,,,
469.19999999925494,,rt_plussign_withcolor,633742,,blue,,,,,49,US_Cities_List/dustpan.png,US_Cities_List/camera.png,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,634686,,black_plus_sign,,,,,null,,,1,0.9743589743589743,,,,,,,,,,,,,,,,
null,,color_black,634789,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),637803,,black_plus_sign,,,,,null,US_Cities_List/teeth.png,US_Cities_List/wheelchair.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),638449,,blue,,,,,null,US_Cities_List/teeth.png,US_Cities_List/wheelchair.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,638953,,blue,,,,,null,US_Cities_List/teeth.png,US_Cities_List/wheelchair.png,,,,,,,,,,,,,,,,,,
