rt,responses,trial_type,time_elapsed,sequence,stimulus,cities,city_images,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial,linedressed_detor
7679.400000572205,{worker_id:3007},id_enter,7683,blocked,intro,Delaro Park; Sunmere; Hawthorne Bluffs; Hollendale; Baymarsh; North Arroya; Cedarwyn; Granton Ridge; Orchard Bend; Juniper Creek; Riverlyn; New Verdan; Claywater,US_Cities_List/teeth.png; US_Cities_List/hat.png; US_Cities_List/gong.png; US_Cities_List/jukebox.png; US_Cities_List/soldier.png; US_Cities_List/basket.png; US_Cities_List/paint.png; US_Cities_List/wheelchair.png; US_Cities_List/dustpan.png; US_Cities_List/globe.png; US_Cities_List/barrel.png; US_Cities_List/snail.png; US_Cities_List/camera.png,,,,,,,,,,,,,,,,,,,,,,,
1634.6999998092651,,fullscreen,9325,,make_fullscreen,,,0,,,,,,,,,,,,,,,,,,,,,,
7516.799999237061,,intro_1,16849,,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,
2898.1000003814697,,intro_2,19749,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
12584.599999427795,,intro_3,32338,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
7943.199999809265,,intro_4,40284,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
6803.199999809265,,intro_5,47089,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
7374.699999809265,,intro_6,54469,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
1317.0999994277954,,intro_7,55788,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
2777.800000190735,,intro_8,58568,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
2504.6000003814697,,intro_9,61074,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
2751,,intro_10,63828,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
1144.8999996185303,,intro_11,64977,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
3015.3999996185303,,intro_12,67996,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,68393,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
431.6000003814697,,prac_atten_color,69413,,prac_stop_color,,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,71423,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,71816,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
483.19999980926514,,prac_atten_color,72592,,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,74601,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,75238,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,75744,,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,
24.399999618530273,,prac_atten_color_black,77751,,black_plus_sign,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,78657,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
411.80000019073486,,prac_atten_color,79220,,prac_stop_color,,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,81223,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,82079,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
494.19999980926514,,prac_atten_color,82630,,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,84633,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,85496,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
596.5,,prac_atten_color,86246,,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,88252,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,88921,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
488.8999996185303,,prac_atten_color,89419,,prac_stop_color,,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,91423,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,92338,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
469.19999980926514,,prac_atten_color,93437,,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,95441,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,95758,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
508.19999980926514,,prac_atten_color,96625,,prac_stop_color,,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,98635,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,99186,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
544.5,,prac_atten_color,100052,,prac_stop_color,,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,102057,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
11420.70000076294,,attentioncheck_feedback,113480,,cross_check_feedback,,,0,,,,,,,,,,,,,,,,,,,,,,
6474,,last_instruct,119955,,instruct,,,,,32,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),122973,,black_plus_sign,,,,,null,US_Cities_List/gong.png,US_Cities_List/barrel.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),123998,,green,,,,,null,US_Cities_List/gong.png,US_Cities_List/barrel.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,124512,,green,,,,,null,US_Cities_List/gong.png,US_Cities_List/barrel.png,,,,,,,,,,,,,,,,,,
1153.8000001907349,,rt_thecrossant_black,125504,,black_plus_sign,,,,,50,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,125614,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
