rt,responses,trial_type,time_elapsed,stimulus,cities,city_images,button_pressed,response,key_press,stimulus_left,stimulus_right,cumulative_accuracy,accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,image_position,unknowncity,testedstates,currentstate,otherstate,problems,smooth,distraction,strategies,easier,similar,comments
null,,html-keyboard-response,1100084,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3777.899999856949,,shortestpath_phase,1103886,../static/images/US_Cities_List/mm_westpalmbeach.png,,,,,49,../static/images/US_Cities_List/nat_huntsville.png,../static/images/US_Cities_List/nat_boulder.png,1,1,,,,../static/images/US_Cities_List/nat_huntsville.png,,,,,One Edge Diff,Three Edge Four Edge,,,,,,,,,,,,,,,,
null,,html-keyboard-response,1104888,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3658,,shortestpath_phase,1108563,../static/images/US_Cities_List/mm_hanover.png,,,,,50,../static/images/US_Cities_List/mm_newhope.png,../static/images/US_Cities_List/mm_gatlinburg.png,1,1,,,,../static/images/US_Cities_List/mm_gatlinburg.png,,,,,One Edge Diff,Two Edge Three Edge,,,,,,,,,,,,,,,,
null,,html-keyboard-response,1109566,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4057.399999856949,,shortestpath_phase,1113645,../static/images/US_Cities_List/nat_huntsville.png,,,,,49,../static/images/US_Cities_List/nat_leesburg.png,../static/images/US_Cities_List/nat_peoria.png,0.8,0,,,,../static/images/US_Cities_List/nat_peoria.png,,,,,Three Edge Diff,Three Edge Six Edge,,,,,,,,,,,,,,,,
null,,html-keyboard-response,1114650,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2658.4000000953674,,shortestpath_phase,1117330,../static/images/US_Cities_List/mm_hanover.png,,,,,50,../static/images/US_Cities_List/nat_carmel.png,../static/images/US_Cities_List/nat_huntsville.png,0.6666666666666666,0,,,,../static/images/US_Cities_List/nat_carmel.png,,,,,Four Edge Diff,Two Edge Six Edge,,,,,,,,,,,,,,,,
null,,html-keyboard-response,1118335,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1637.2000000476837,,shortestpath_phase,1119994,../static/images/US_Cities_List/nat_huntsville.png,,,,,50,../static/images/US_Cities_List/nat_shreveport.png,../static/images/US_Cities_List/mm_hanover.png,0.5714285714285714,0,,,,../static/images/US_Cities_List/nat_shreveport.png,,,,,Four Edge Diff,Two Edge Six Edge,,,,,,,,,,,,,,,,
null,,html-keyboard-response,1120999,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2639.2999999523163,,shortestpath_phase,1123663,../static/images/US_Cities_List/nat_leesburg.png,,,,,49,../static/images/US_Cities_List/mm_newhope.png,../static/images/US_Cities_List/mm_westpalmbeach.png,0.625,1,,,,../static/images/US_Cities_List/mm_newhope.png,,,,,Three Edge Diff,Three Edge Six Edge,,,,,,,,,,,,,,,,
null,,html-keyboard-response,1124668,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796.5,,shortestpath_phase,1127487,../static/images/US_Cities_List/nat_peoria.png,,,,,50,../static/images/US_Cities_List/mm_hanover.png,../static/images/US_Cities_List/nat_huntsville.png,0.6666666666666666,1,,,,../static/images/US_Cities_List/nat_huntsville.png,,,,,Three Edge Diff,Two Edge Five Edge,,,,,,,,,,,,,,,,
null,,html-keyboard-response,1128492,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
