"rt","responses","trial_type","time_elapsed","sequence","stimulus","cities","city_images","button_pressed","response","key_press","stimulus_left","stimulus_right","accuracy","cumulative_accuracy","stimulus_down_left","stimulus_down_mid","stimulus_down_right","stimulus_correct","stimulus_short","stimulus_far","weighted_accuracy","missedtrial","condition","specific_pairs","imgL_ID","imgR_ID","linedress","linedressed","detour_trial","linedressed_detor","testedstates","currentstate","otherstate","problems","smooth","distraction","strategies","easier","similar","comments"
"null","","learn_phase(without_color)","821174","","black_plus_sign","","","","","null","US_Cities_List/soldier.png","US_Cities_List/jukebox.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","black_cross(without_color)","822173","","green","","","","","null","US_Cities_List/soldier.png","US_Cities_List/jukebox.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","rt_plussign_withcolor","822677","","green","","","","","null","US_Cities_List/soldier.png","US_Cities_List/jukebox.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"825.7000000029802","","rt_thecrossant_black","823687","","black_plus_sign","","","","","50","","","1","0.9736842105263158","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","color_black","823791","","black_plus_sign","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","826805","","black_plus_sign","","","","","null","US_Cities_List/snail.png","US_Cities_List/wheelchair.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","black_cross(without_color)","827723","","blue","","","","","null","US_Cities_List/snail.png","US_Cities_List/wheelchair.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","rt_plussign_withcolor","828227","","blue","","","","","null","US_Cities_List/snail.png","US_Cities_List/wheelchair.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1181","","rt_thecrossant_black","829314","","black_plus_sign","","","","","49","","","1","0.974025974025974","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","color_black","829419","","black_plus_sign","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","832433","","black_plus_sign","","","","","null","US_Cities_List/jukebox.png","US_Cities_List/soldier.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","black_cross(without_color)","832992","","blue","","","","","null","US_Cities_List/jukebox.png","US_Cities_List/soldier.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","rt_plussign_withcolor","833496","","blue","","","","","null","US_Cities_List/jukebox.png","US_Cities_List/soldier.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1335.5","","rt_thecrossant_black","834943","","black_plus_sign","","","","","49","","","1","0.9743589743589743","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","color_black","835048","","black_plus_sign","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","838069","","black_plus_sign","","","","","null","US_Cities_List/snail.png","US_Cities_List/wheelchair.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","black_cross(without_color)","838506","","green","","","","","null","US_Cities_List/snail.png","US_Cities_List/wheelchair.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","rt_plussign_withcolor","839009","","green","","","","","null","US_Cities_List/snail.png","US_Cities_List/wheelchair.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"809.2999999970198","","rt_thecrossant_black","840579","","black_plus_sign","","","","","50","","","1","0.9746835443037974","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","color_black","840682","","black_plus_sign","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","843700","","black_plus_sign","","","","","null","US_Cities_List/soldier.png","US_Cities_List/jukebox.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","black_cross(without_color)","844163","","blue","","","","","null","US_Cities_List/soldier.png","US_Cities_List/jukebox.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
