rt,responses,trial_type,time_elapsed,stimulus,cities,city_images,button_pressed,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,image_position
null,,learn_phase(without_color),281116,black_plus_sign,,,,null,US_Cities_List/mm_hanover.png,US_Cities_List/mm_gatlinburg.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),282014,blue,,,,null,US_Cities_List/mm_hanover.png,US_Cities_List/mm_gatlinburg.png,,,,,,,,,,,,,,,,,
495.20000000298023,,rt_plussign_withcolor,282516,blue,,,,49,US_Cities_List/mm_hanover.png,US_Cities_List/mm_gatlinburg.png,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,283626,black_plus_sign,,,,null,,,1,0.9230769230769231,,,,,,,,,,,,,,,
null,,color_black,283729,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),286256,black_plus_sign,,,,null,US_Cities_List/mm_boulder.png,US_Cities_List/nat_westpalmbeach.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),286993,green,,,,null,US_Cities_List/mm_boulder.png,US_Cities_List/nat_westpalmbeach.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,287496,green,,,,null,US_Cities_List/mm_boulder.png,US_Cities_List/nat_westpalmbeach.png,,,,,,,,,,,,,,,,,
1221.7999999970198,,rt_thecrossant_black,288767,black_plus_sign,,,,50,,,1,0.9259259259259259,,,,,,,,,,,,,,,
null,,color_black,288871,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),291405,black_plus_sign,,,,null,US_Cities_List/nat_carmel.png,US_Cities_List/mm_hanover.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),292001,blue,,,,null,US_Cities_List/nat_carmel.png,US_Cities_List/mm_hanover.png,,,,,,,,,,,,,,,,,
387.69999998807907,,rt_plussign_withcolor,292504,blue,,,,49,US_Cities_List/nat_carmel.png,US_Cities_List/mm_hanover.png,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,293916,black_plus_sign,,,,null,,,1,0.9285714285714286,,,,,,,,,,,,,,,
null,,color_black,294020,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),296552,black_plus_sign,,,,null,US_Cities_List/mm_leesburg.png,US_Cities_List/nat_newhope.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),297195,blue,,,,null,US_Cities_List/mm_leesburg.png,US_Cities_List/nat_newhope.png,,,,,,,,,,,,,,,,,
410.3999999910593,,rt_plussign_withcolor,297699,blue,,,,49,US_Cities_List/mm_leesburg.png,US_Cities_List/nat_newhope.png,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,299063,black_plus_sign,,,,null,,,1,0.9310344827586207,,,,,,,,,,,,,,,
null,,color_black,299167,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),301703,black_plus_sign,,,,null,US_Cities_List/nat_carmel.png,US_Cities_List/nat_peoria.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),302535,green,,,,null,US_Cities_List/nat_carmel.png,US_Cities_List/nat_peoria.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,303038,green,,,,null,US_Cities_List/nat_carmel.png,US_Cities_List/nat_peoria.png,,,,,,,,,,,,,,,,,
1398.300000011921,,rt_thecrossant_black,304213,black_plus_sign,,,,50,,,1,0.9333333333333333,,,,,,,,,,,,,,,
null,,color_black,304317,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),306854,black_plus_sign,,,,null,US_Cities_List/mm_hanover.png,US_Cities_List/mm_gatlinburg.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),307493,blue,,,,null,US_Cities_List/mm_hanover.png,US_Cities_List/mm_gatlinburg.png,,,,,,,,,,,,,,,,,
46.900000005960464,,rt_plussign_withcolor,307996,blue,,,,49,US_Cities_List/mm_hanover.png,US_Cities_List/mm_gatlinburg.png,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,309366,black_plus_sign,,,,null,,,1,0.9354838709677419,,,,,,,,,,,,,,,
null,,color_black,309469,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),312002,black_plus_sign,,,,null,US_Cities_List/nat_huntsville.png,US_Cities_List/nat_peoria.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),313017,blue,,,,null,US_Cities_List/nat_huntsville.png,US_Cities_List/nat_peoria.png,,,,,,,,,,,,,,,,,
