rt,responses,trial_type,time_elapsed,sequence,stimulus,cities,city_images,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial,linedressed_detor,testedstates,currentstate,otherstate,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus
null,,learn_phase(without_color),561366,,black_plus_sign,,,,,null,US_Cities_List/snail.png,US_Cities_List/globe.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),561998,,green,,,,,null,US_Cities_List/snail.png,US_Cities_List/globe.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,562500,,green,,,,,null,US_Cities_List/snail.png,US_Cities_List/globe.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1131.8000000000466,,rt_thecrossant_black,563875,,black_plus_sign,,,,,50,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,563978,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),566996,,black_plus_sign,,,,,null,US_Cities_List/teeth.png,US_Cities_List/hat.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),567520,,blue,,,,,null,US_Cities_List/teeth.png,US_Cities_List/hat.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,568023,,blue,,,,,null,US_Cities_List/teeth.png,US_Cities_List/hat.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
845,,rt_thecrossant_black,569506,,black_plus_sign,,,,,49,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,569610,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),572625,,black_plus_sign,,,,,null,US_Cities_List/globe.png,US_Cities_List/snail.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),573413,,green,,,,,null,US_Cities_List/globe.png,US_Cities_List/snail.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,573916,,green,,,,,null,US_Cities_List/globe.png,US_Cities_List/snail.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850.6999999999534,,rt_thecrossant_black,575134,,black_plus_sign,,,,,50,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,575238,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),578256,,black_plus_sign,,,,,null,US_Cities_List/teeth.png,US_Cities_List/hat.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),578782,,green,,,,,null,US_Cities_List/teeth.png,US_Cities_List/hat.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,579284,,green,,,,,null,US_Cities_List/teeth.png,US_Cities_List/hat.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899.6999999999534,,rt_thecrossant_black,580765,,black_plus_sign,,,,,50,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,580868,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),583884,,black_plus_sign,,,,,null,US_Cities_List/basket.png,US_Cities_List/jukebox.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),584834,,blue,,,,,null,US_Cities_List/basket.png,US_Cities_List/jukebox.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,585337,,blue,,,,,null,US_Cities_List/basket.png,US_Cities_List/jukebox.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683.1999999999534,,rt_thecrossant_black,586394,,black_plus_sign,,,,,49,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,586497,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),589515,,black_plus_sign,,,,,null,US_Cities_List/hat.png,US_Cities_List/teeth.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),590570,,green,,,,,null,US_Cities_List/hat.png,US_Cities_List/teeth.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,591072,,green,,,,,null,US_Cities_List/hat.png,US_Cities_List/teeth.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1224.3999999999069,,rt_thecrossant_black,592024,,black_plus_sign,,,,,50,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,592127,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),595139,,black_plus_sign,,,,,null,US_Cities_List/snail.png,US_Cities_List/globe.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),595793,,green,,,,,null,US_Cities_List/snail.png,US_Cities_List/globe.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,596296,,green,,,,,null,US_Cities_List/snail.png,US_Cities_List/globe.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1375.0999999998603,,rt_thecrossant_black,597649,,black_plus_sign,,,,,50,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,597752,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),600769,,black_plus_sign,,,,,null,US_Cities_List/globe.png,US_Cities_List/snail.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),601404,,green,,,,,null,US_Cities_List/globe.png,US_Cities_List/snail.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481.60000000009313,,rt_plussign_withcolor,601907,,green,,,,,50,US_Cities_List/globe.png,US_Cities_List/snail.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,603279,,black_plus_sign,,,,,null,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,603382,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),606403,,black_plus_sign,,,,,null,US_Cities_List/jukebox.png,US_Cities_List/basket.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),607286,,green,,,,,null,US_Cities_List/jukebox.png,US_Cities_List/basket.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,607789,,green,,,,,null,US_Cities_List/jukebox.png,US_Cities_List/basket.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
758.5,,rt_thecrossant_black,608913,,black_plus_sign,,,,,50,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,609016,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
